forks,stargazers_count,open_issues,size,owner_type,readme_size,num_contrib,commits,year
15,13,0,20395,1,39,2,99,2012
25,43,8,10753,0,2874,4,2333,2009
150,162,9,201829,1,3401,59,16383,2011
314,656,41,62634,0,2493,16,1697,2011
85,129,34,204349,0,1661,11,1927,2012
83,229,10,114792,0,3740,9,1003,2012
24,58,2,114,0,0,2,6,2011
51,116,12,8817,0,1116,10,269,2012
55,63,299,1404121,1,6139,26,6715,2011
3,6,0,652,0,0,0,0,2012
41,8,0,2453,1,305,18,480,2012
209,246,128,16364,1,309,71,4110,2010
58,1,0,577,0,0,0,0,2011
30,47,16,97319,1,2840,2,2430,2012
49,63,8,57406,1,2703,31,2068,2011
35,49,0,28783,0,0,0,0,2009
24,72,13,493,1,6946,3,91,2009
73,44,10,284006,1,4107,32,5908,2012
10,10,1,132,0,17,1,5,2010
10,7,4,15391,0,436,3,68,2011
26,11,1,14054,0,757,2,220,2011
36,71,0,26761,1,2232,3,37,2012
13,51,6,3503,0,15102,1,245,2011
16,15,7,1154,1,2045,4,100,2012
18,12,1,5570,0,2285,2,228,2011
44,0,0,15404,1,248,24,202,2012
4,7,0,150,0,1484,1,5,2012
16,13,7,8270,1,932,21,1658,2012
22,1,0,404,0,114,6,72,2012
21,34,0,31558,0,919,5,34,2008
654,801,211,406374,1,3845,100,6711,2010
64,24,0,80449,1,235,11,961,2011
52,11,0,165982,1,2252,14,537,2012
17,27,0,688,1,5826,10,444,2011
35,0,0,541,1,3329,8,177,2012
4,5,2,19352,0,5145,1,2,2011
17,21,2,10519,1,272,8,386,2011
8,16,2,52944,1,8488,5,579,2012
3,7,0,1529,1,130,1,1,2012
5,8,1,72743,1,2492,1,61,2011
5,4,3,8243,1,0,1,17,2011
1,3,0,1351,0,9130,1,2,2010
20,8,0,46028,0,3486,0,0,2011
3,7,0,83976,0,310,1,1,2010
7,3,0,11896,1,257,9,801,2012
13,13,0,2013,0,7353,1,1,2009
1,3,1,344,0,9126,1,10,2011
2,7,11,1605,0,10,2,57,2010
4,6,0,50799,1,315,3,176,2010
3,5,0,484,0,726,1,32,2011
34,55,13,234252,0,9895,4,424,2012
14,4,0,12822,1,145,8,83,2012
1,8,11,3840,0,6616,5,213,2011
3,5,0,925,0,3556,3,126,2010
4,14,0,19654,0,12902,1,471,2011
4,11,1,66963,0,10011,2,16,2010
7,1,2,12642,0,0,1,62,2012
3,3,7,729,0,-1,2,458,2011
3,4,0,11909,0,2912,4,15,2012
5,6,0,3505,1,979,3,94,2011
3,2,0,1433,0,9208,1,40,2012
51,77,17,118333,1,8386,51,10625,2012
4,2,1,12023,0,0,1,20,2011
6,9,17,99972,1,3857,3,117,2011
4,2,0,1593,1,0,3,85,2012
13,0,0,184,1,146,7,59,2012
6,7,3,131544,0,0,1,1,2011
2,3,0,1034,0,0,2,17,2011
0,0,0,1183,0,42,2,7,2012
1,2,0,239595,1,1220,6,1261,2012
4,1,0,4232,1,0,2,12,2012
3,0,0,42233,0,0,5,107,2012
4,2,0,64338,1,0,1,3,2012
9,5,0,76368,0,0,0,0,2011
3,1,0,1710,0,0,0,0,2012
0,0,0,14924,0,43,1,2,2012
1,1,0,4685,0,4828,5,92,2012
2,4,0,2255,0,3138,1,231,2012
5,25,1,7076,0,0,4,414,2010
4,6,10,258,1,2311,1,65,2012
0,0,0,332,0,206,1,2,2012
3,3,0,2312,1,254,7,287,2012
3,13,27,3364,0,1738,1,112,2012
3,3,1,227,0,665,0,0,2012
3,1,0,1457,0,1996,1,3,2012
